127.0.0.1 - - [09/Feb/2017:09:39:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Feb/2017:09:39:07 +0530] "GET /jhakaas/ HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [09/Feb/2017:09:39:07 +0530] "GET /jhakaas/resources/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:09:39:07 +0530] "GET /jhakaas/resources/images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:09:39:07 +0530] "GET /jhakaas/resources/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:09:39:07 +0530] "GET /jhakaas/resources/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:09:39:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Feb/2017:11:30:16 +0530] "GET /jhakaas/ HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [09/Feb/2017:11:30:24 +0530] "GET /jhakaas/ HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:06:41 +0530] "GET /jhakaas/ HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:06:41 +0530] "GET /jhakaas/resources/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:06:41 +0530] "GET /jhakaas/resources/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:06:41 +0530] "GET /jhakaas/resources/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:06:41 +0530] "GET /jhakaas/resources/images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:08:55 +0530] "GET /jhakaas/ HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:20:11 +0530] "GET /jhakaas/ HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:20:35 +0530] "GET /jhakaas/login HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:20:35 +0530] "GET /jhakaas/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:22:20 +0530] "GET /jhakaas/login HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:22:20 +0530] "GET /jhakaas/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:22:22 +0530] "GET /jhakaas/login HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:22:22 +0530] "GET /jhakaas/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:23:40 +0530] "GET /jhakaas/login HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:23:40 +0530] "GET /jhakaas/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:23:40 +0530] "GET /jhakaas/resources/css/login.css HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [09/Feb/2017:13:23:40 +0530] "GET /jhakaas/shared/mixins HTTP/1.1" 404 992
